Cell	S_Phase
SRR6491866_trimmed.bam	FALSE
SRR6491867_trimmed.bam	FALSE
SRR6491868_trimmed.bam	FALSE
SRR6491869_trimmed.bam	FALSE
SRR6491870_trimmed.bam	FALSE
SRR6491871_trimmed.bam	FALSE
SRR6491872_trimmed.bam	TRUE
SRR6491873_trimmed.bam	TRUE
SRR6491874_trimmed.bam	TRUE
SRR6491875_trimmed.bam	TRUE
SRR6491876_trimmed.bam	TRUE
SRR6491877_trimmed.bam	TRUE
SRR6491878_trimmed.bam	TRUE
SRR6491879_trimmed.bam	TRUE
SRR6491880_trimmed.bam	TRUE
SRR6491881_trimmed.bam	TRUE
SRR6491882_trimmed.bam	TRUE
SRR6491883_trimmed.bam	TRUE
SRR6491884_trimmed.bam	TRUE
SRR6491885_trimmed.bam	TRUE
SRR6491886_trimmed.bam	TRUE
SRR6491887_trimmed.bam	TRUE
SRR6491888_trimmed.bam	TRUE
SRR6491889_trimmed.bam	TRUE
SRR6491890_trimmed.bam	TRUE
SRR6491891_trimmed.bam	TRUE
SRR6491892_trimmed.bam	TRUE
SRR6491893_trimmed.bam	TRUE
SRR6491894_trimmed.bam	TRUE
SRR6491895_trimmed.bam	TRUE
SRR6491896_trimmed.bam	TRUE
SRR6491897_trimmed.bam	TRUE
SRR6491898_trimmed.bam	TRUE
SRR6491899_trimmed.bam	TRUE
SRR6491900_trimmed.bam	TRUE
SRR6491901_trimmed.bam	TRUE
SRR6491902_trimmed.bam	TRUE
SRR6491903_trimmed.bam	TRUE
SRR6491904_trimmed.bam	TRUE
SRR6491905_trimmed.bam	TRUE
SRR6491906_trimmed.bam	TRUE
SRR6491907_trimmed.bam	TRUE
SRR6491908_trimmed.bam	TRUE
SRR8356480_trimmed.bam	FALSE
SRR8356481_trimmed.bam	FALSE
SRR8356482_trimmed.bam	FALSE
SRR8356488_trimmed.bam	TRUE
SRR8356489_trimmed.bam	TRUE
SRR8356490_trimmed.bam	TRUE
SRR8356491_trimmed.bam	TRUE
SRR8356492_trimmed.bam	TRUE
SRR8356493_trimmed.bam	TRUE
SRR8356494_trimmed.bam	TRUE
SRR8356495_trimmed.bam	TRUE
SRR8356496_trimmed.bam	TRUE
SRR8356497_trimmed.bam	TRUE
SRR8356498_trimmed.bam	TRUE
SRR8356499_trimmed.bam	TRUE
SRR8356500_trimmed.bam	TRUE
SRR8356501_trimmed.bam	TRUE
SRR8356502_trimmed.bam	TRUE
SRR8356503_trimmed.bam	TRUE
SRR8356504_trimmed.bam	TRUE
SRR8356518_trimmed.bam	FALSE
SRR8356519_trimmed.bam	FALSE
SRR8356520_trimmed.bam	FALSE
SRR8356521_trimmed.bam	FALSE
